rep;cov;sim;kr;MR1;MR2;MR3;MR4;MR5
[[[-1.1, -1.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.09, 1.08, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], [[0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [-1.6, -1.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], [[0.0, 0.0, 0.0, 0.0, 0.0, 0.08, 0.08, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.92, 0.92, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], [[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [-0.8, -0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.09, 0.1, 0.0, 0.0, 0.0]], [[0.9, 0.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.05, 1.05, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.09, -0.09, 0.0, 0.0, 0.0]]];0.712;0.8571233051233051;0.3781053781053781;[0.8943488943488943, 0.9485394485394485];[0.8464373464373465, 0.9213759213759214];[0.6218946218946219, 0.7773682773682774];[0.7955227955227955, 0.8879333879333879];[0.7280917280917281, 0.8495768495768495]
[[[0.0, 0.0, 0.0, 0.0, 0.0, 0.03, 0.03, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.44, 1.44, 0.0], [-1.7, -1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], [[0.0, 0.0, 0.0, 0.96, 0.99, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.08, -0.08, 0.0, 0.0, 0.0]], [[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [-1.2, -1.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.56, 0.55, 0.0]], [[0.0, 0.0, 0.0, 0.0, 0.0, -0.03, -0.08, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.1, 1.08, 0.0, 0.0, 0.0, 0.0, 0.0], [1.9, 1.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], [[0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.73, 0.69, 0.0], [0.0, 0.0, -9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]];0.712;0.8647254527254528;0.37346437346437344;[0.7790062790062791, 0.8797433797433798];[0.7788697788697788, 0.8872508872508873];[0.9245154245154246, 0.9606879606879607];[0.6592956592956593, 0.7994812994812995];[0.8194103194103194, 0.9082719082719083]
[[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9], [0.0, 0.0, 0.0, 0.0, 0.0, -0.08, -0.08, 0.0, 0.0, 0.0], [0.0, 0.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], [[0.0, 0.0, 0.0, 0.0, 0.0, 0.08, 0.04, 0.0, 0.0, 0.0], [-1.7, -1.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], [[0.0, 0.0, 0.0, 0.0, 0.0, 0.07, 0.07, 0.0, 0.0, 0.0], [0.0, 0.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2, 0.0]], [[0.0, 0.0, 0.0, 1.07, 1.07, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, 0.0, 0.0, 0.0]], [[0.0, 0.0, -7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.09, -0.09, 0.0, 0.0, 0.0], [2.0, 1.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]];0.705;0.8468287560287561;0.5192465192465192;[0.8042588042588042, 0.9034944034944035];[0.6089271089271089, 0.794976794976795];[0.8263718263718264, 0.9114114114114115];[0.8663663663663663, 0.9314769314769314];[0.6283101283101283, 0.7788697788697788]
[[[0.0, 0.0, -10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.06, 0.01, 0.0, 0.0, 0.0]], [[0.0, 0.0, 0.0, 0.9, 0.91, 0.0, 0.0, 0.0, 0.0, 0.0], [-1.8, -1.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.09, 0.04, 0.0, 0.0, 0.0]], [[0.0, 0.0, 0.0, 0.0, 0.0, -0.05, -0.05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2]], [[0.0, 0.0, 0.0, 0.0, 0.0, -0.08, -0.08, 0.0, 0.0, 0.0], [0.0, 0.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.08, 1.04, 0.0, 0.0, 0.0, 0.0, 0.0]], [[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.29, 1.29, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]];0.705;0.8536104559104557;0.43407043407043405;[0.8303303303303303, 0.9120939120939121];[0.536991536991537, 0.7093912093912094];[0.917963417963418, 0.9602784602784603];[0.711984711984712, 0.8346983346983347];[0.9374829374829374, 0.969014469014469]
[[[0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.03, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1]], [[0.0, 0.0, 0.0, 0.91, 0.91, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.08, 0.1, 0.0, 0.0, 0.0], [0.0, 0.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], [[0.0, 0.0, 0.0, 0.0, 0.0, 0.07, 0.07, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.96, 0.96, 0.0, 0.0, 0.0, 0.0, 0.0], [-2.0, -2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], [[0.0, 0.0, 0.0, 0.0, 0.0, -0.09, -0.09, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2], [0.0, 0.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], [[0.0, 0.0, 0.0, 1.1, 1.1, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.06, -0.06, 0.0, 0.0, 0.0], [0.0, 0.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]];0.71;0.851456128856129;0.3634998634998635;[0.9320229320229321, 0.9688779688779688];[0.7155337155337156, 0.842069342069342];[0.6658476658476659, 0.806988806988807];[0.7800982800982801, 0.881927381927382];[0.724952224952225, 0.8513513513513513]
[[[0.0, 0.0, -10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.29, 1.29, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.09, 0.09, 0.0, 0.0, 0.0]], [[0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.04, 1.04, 0.0, 0.0, 0.0, 0.0, 0.0]], [[0.0, 0.0, 0.0, 0.93, 0.93, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.03, -0.03, 0.0, 0.0, 0.0], [0.0, 0.0, -8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], [[0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.08, 0.0, 0.0, 0.0], [-0.1, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], [[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.1, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.97, 0.97, 0.0, 0.0, 0.0, 0.0, 0.0]]];0.708;0.8653016380016381;0.33565383565383566;[0.7597597597597597, 0.8675948675948676];[0.6845481845481846, 0.8161343161343161];[0.8050778050778051, 0.9026754026754027];[0.9025389025389026, 0.954954954954955];[0.8218673218673219, 0.9064974064974065]
[[[0.0, 0.0, 0.0, 1.09, 1.07, 0.0, 0.0, 0.0, 0.0, 0.0], [1.6, 1.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.07, -0.07, 0.0, 0.0, 0.0]], [[0.0, 0.0, 0.0, 0.0, 0.0, -0.01, -0.04, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.92, 0.92, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38, 0.38, 0.0]], [[-1.9, -1.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.1, 1.1, 0.0, 0.0, 0.0, 0.0, 0.0]], [[0.0, 0.0, 0.0, 1.1, 1.1, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, 0.0, 0.0, 0.0]], [[0.0, 0.0, 0.0, 0.91, 0.91, 0.0, 0.0, 0.0, 0.0, 0.0], [-0.9, -0.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.07, -0.07, 0.0, 0.0, 0.0]]];0.707;0.8545003549003548;0.41714441714441713;[0.616980616980617, 0.7776412776412777];[0.8755118755118755, 0.9322959322959323];[0.9295659295659295, 0.9672399672399672];[0.609063609063609, 0.7713622713622713];[0.812039312039312, 0.8988533988533989]
[[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.1, -0.09, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]], [[-1.6, -1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.07, 0.07, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.93, 0.93, 0.0, 0.0, 0.0, 0.0, 0.0]], [[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.95, 0.95, 0.0], [0.0, 0.0, 0.0, 0.92, 0.94, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.09, 0.0, 0.0, 0.0]], [[0.0, 0.0, -5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], [[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.1, 0.0, 0.0, 0.0]]];0.705;0.863092446992447;0.32446082446082447;[0.849030849030849, 0.9262899262899262];[0.6777231777231777, 0.8184548184548185];[0.8031668031668031, 0.8914823914823915];[0.7734097734097735, 0.8828828828828829];[0.7966147966147966, 0.8951678951678952]
[[[0.0, 0.0, 0.0, 0.0, 0.0, 0.06, 0.06, 0.0, 0.0, 0.0], [-1.7, -1.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], [[1.5, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.07, -0.07, 0.0, 0.0, 0.0]], [[0.0, 0.0, 0.0, 0.0, 0.0, -0.05, -0.05, 0.0, 0.0, 0.0], [1.7, 1.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.45, 1.45, 0.0]], [[0.0, 0.0, -10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7]], [[0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.09, -0.09, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.05, 1.05, 0.0, 0.0, 0.0, 0.0, 0.0]]];0.704;0.8634698425698427;0.371962871962872;[0.6747201747201748, 0.8256893256893257];[0.8083538083538083, 0.9017199017199017];[0.7994812994812995, 0.8888888888888888];[0.8880698880698881, 0.9448539448539448];[0.7166257166257166, 0.8438438438438438]
[[[0.0, 0.0, 0.0, 1.06, 1.08, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.1, -0.09, 0.0, 0.0, 0.0]], [[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5], [-1.6, -1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.09, 0.09, 0.0, 0.0, 0.0]], [[0.0, 0.0, 10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.98, 0.98, 0.0, 0.0, 0.0, 0.0, 0.0], [2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], [[0.0, 0.0, 0.0, 0.0, 0.0, 0.09, 0.09, 0.0, 0.0, 0.0], [0.0, 0.0, -5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], [[-1.5, -1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.01, 1.01, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]];0.711;0.8610153517153518;0.3938028938028938;[0.6717171717171717, 0.8162708162708163];[0.7413322413322413, 0.8588588588588588];[0.8183183183183184, 0.9063609063609064];[0.8277368277368278, 0.9193284193284194];[0.8218673218673219, 0.907998907998908]
